Location,Land_cover,Biome,Biogeogr,Country,Latitude,Longitude,Elevation,Abundance,Richness,Seasons,Years,PresAbs,Reference
AGO_Okavango,Natural,Savanna,Southern,Angola,-13.1,18.2,1440,11,11,2,3,1,Taylor et al. (2018) - ZooKeys
BDI_Bururi,Natural,Forest,Congolian,Burundi,-3.9383,29.5969,1880,43,8,2,1,0,Kerbis Peterhans et al. (2010) - J E Afr Nat Hist
BWA_Xugana,Natural,Savanna,Southern,Botswana,-19.0833,23.05,1000,100,19,1,1,0,Archer (1975) - Botswana Notes & Records
CAF_Dzanga,Natural,Rainforest,Congolian,CAR,2.95,16.267,410,17,17,1,2,1,Lunde et al. (2001) - Mammalia
CAF_Floris,Natural,Savanna,Sudanian,CAR,9.3167,21.2,500,146,19,2,3,0,Schlitter et al. (1982) - Ann. Carnegie Mus.
CAF_Mbaiki,Mixed,Rainforest,Congolian,CAR,3.9,18,550,28,10,1,1,0,Schlitter et al. (1982) - Ann. Carnegie Mus.
CIV_Comoe,Natural,Forest-savanna,Sudanian,Ivory_Coast,8.75,-3.817,200,2380,53,2,3,0,Fahr & Kalko (2011) - Ecography
CIV_Tai,Natural,Rainforest,Congolian,Ivory_Coast,5.083,-7.35,200,1555,36,2,3,0,Fahr & Kalko (2011) - Ecography
CMR_Cameroon1,Natural,Rainforest,Congolian,Cameroon,4.192,9.38,470,200,15,2,2,0,Mongombe et al. (2019) - Tropical Zoology
CMR_Cameroon2,Natural,Rainforest,Congolian,Cameroon,4.147,9.2026,1400,169,10,2,2,0,Mongombe et al. (2019) - Tropical Zoology
CMR_Cameroon3,Natural,Montane,Congolian,Cameroon,4.144,9.2026,1700,43,4,2,2,0,Mongombe et al. (2019) - Tropical Zoology
CMR_Cameroon4,Natural,Montane,Congolian,Cameroon,4.146,9.169,2200,153,5,2,2,0,Mongombe et al. (2019) - Tropical Zoology
CMR_Dja,Natural,Rainforest,Congolian,Cameroon,3.1,13,700,269,27,2,2,0,Bakwo (2009) - Le Vespere
CMR_Maroua,Natural,Savanna,Sudanian,Cameroon,10.597,14.315,400,404,16,1,1,0,Bakwo (2014) - Biodiversity
CMR_Mpem,Natural,Forest-savanna,Congolian,Cameroon,5.275,11.666,610,59,14,2,1,0,Atagana et al. (2018) - Biodiversity J.
COD_Epulu,Natural,Rainforest,Congolian,DR_Congo,1.3981,28.5687,770,76,6,1,1,0,Malekani et al. (2018) - Nature Conserv. Res.
COD_Kitwit,Agricultural,Forest-savanna,Congolian,DR_Congo,-5.0579,18.9092,450,541,20,1,1,0,Van Cakenberghe et al. (1999) - Mammalia; Leirs et al. (1999) - J. Infect. Dis.
COD_Lomami,Natural,Rainforest,Congolian,DR_Congo,-1.3832,25.0387,460,69,8,1,1,0,Malekani et al. (2018) - Nature Conserv. Res.
COD_Yangambi,Natural,Rainforest,Congolian,DR_Congo,0.7596,24.4753,450,55,6,1,1,0,Malekani et al. (2018) - Nature Conserv. Res.
ETH_Alatish,Natural,Savanna,Sudanian,Ethiopia,12.3,35.7667,590,119,20,1,1,0,Kruskop et al. (2016) Lynx
ETH_Babille,Natural,Montane,Somalian,Ethiopia,9.15,42.267,1220,23,8,1,1,0,Lavrenchenko et al. (2010) - Russian J. Theriol.
ETH_Bale,Natural,Montane,Ethiopian,Ethiopia,6.633,39.733,1900,17,7,2,2,0,Lavrenchenko et al. (2004) Bonn Zool. Bull.
ETH_Beletta,Natural,Montane,Ethiopian,Ethiopia,7.533,36.55,2050,30,9,2,2,0,Lavrenchenko et al. (2004) Bonn Zool. Bull.
ETH_Godare,Natural,Montane,Ethiopian,Ethiopia,7.283,35.267,1360,18,18,1,1,1,Lavrenchenko et al. (2008) - Russian J. Theriol.; Lavrenchenko et al. (2004) Bonn Zool. Bull.
ETH_Simien,Natural,Montane,Ethiopian,Ethiopia,13.2333,38.05,3250,2,2,1,1,1,Kruskop & Lavrenchenko (2006) - Russian J. Theriol.
GAB_Maboumine,Natural,Rainforest,Congolian,Gabon,-0.7541,10.5508,60,79,19,2,1,0,Monadjem & Dower (2012) - Unpublished report
