Family,Casinycteris_argynnis,MASS,FA,HB,TAIL,Ear,HF,GSKL,ZYGO,C-M3,Fruitbat,Open-air,Edge,Clutter
PTEROPODIDAE,Casinycteris_campomaanensis,29.5,55.9,81.3,0,18.1,13.4,25.5,18.9,8.5,1,0,0,0
PTEROPODIDAE,Casinycteris_ophiodon,49,73.2,97.1,0,22.3,15,32.3,23.2,10.4,1,0,0,0
PTEROPODIDAE,Eidolon_helvum,70.8,77,117.1,0,22.6,18.1,37.8,23.3,12.5,1,0,0,0
PTEROPODIDAE,Epomophorus_angolensis,208.3,118.6,186.4,14.6,27.8,30.4,57,31.9,20.9,1,0,0,0
PTEROPODIDAE,Epomophorus_anselli,86,85.8,152,4.2,26,21,53.3,26.3,18.5,1,0,0,0
PTEROPODIDAE,Epomophorus_crypturus,57,72.5,124.5,3,19.5,16.1,42.9,22.8,15,1,0,0,0
PTEROPODIDAE,Epomophorus_dobsonii,99,81.8,144,1.4,24.4,21,49.9,25.5,17.1,1,0,0,0
PTEROPODIDAE,Epomophorus_gambianus,120,85.4,150.9,7.3,26.8,21,50.3,25.4,15,1,0,0,0
PTEROPODIDAE,Epomophorus_grandis,117,85.9,138.8,2.9,22.7,23.3,54.8,26.5,19.3,1,0,0,0
PTEROPODIDAE,Epomophorus_labiatus,31.8,63.7,99,6,17,18.5,36.2,21.4,12.1,1,0,0,0
PTEROPODIDAE,Epomophorus_minimus,47.5,68.9,101.9,2,18.5,16.1,41,21.9,13.7,1,0,0,0
PTEROPODIDAE,Epomophorus_wahlbergi,28.2,61,103.5,0,18.2,16.1,34.5,19.8,11.5,1,0,0,0
PTEROPODIDAE,Epomops_buettikoferi,96.9,80,139.5,3.3,23.5,23.2,47.7,26,16.6,1,0,0,0
PTEROPODIDAE,Epomops_franqueti,157.5,92.7,154.1,0,23.2,21.4,53.2,27.4,19.5,1,0,0,0
PTEROPODIDAE,Hypsignathus_monstrosus,113.5,88.6,147.5,0.5,24,24.5,46,26.7,15.6,1,0,0,0
