,Graphiurus_crassicaudatus,Graphiurus_kelleni,Graphiurus_lorraineus,Graphiurus_microtis,Graphiurus_murinus,Graphiurus_nagtglasii,Graphiurus_ocularis,Graphiurus_surdus,Beamys_hindei,Beamys_major,Saccostomus_campestris,Saccostomus_mearnsi,Saccostomus_umbriventer,Delanymys_brooksi,Dendromus_insignis,Dendromus_lovati,Dendromus_mesomelas,Dendromus_messorius,Dendromus_mystacalis,Dendromus_nyasae,Malacothrix_typica,Megadendromus_nikolausi,Poemys_melanotis,Poemys_nyikae,Steatomys_caurinus,Steatomys_krebsii,Steatomys_parvus,Steatomys_pratensis,Mystromys_albicaudatus,Petromyscus_collinus,Acomys_cineraceus,Acomys_johannis,Acomys_muzei,Acomys_ngurui,Acomys_percivali,Acomys_selousi,Acomys_spinosissimus,Acomys_subspinosus,Acomys_wilsoni,Deomys_ferrugineus,Lophuromys_angolensis,Lophuromys_ansorgei,Lophuromys_aquilus,Lophuromys_brevicaudus,Lophuromys_brunneus,Lophuromys_chrysopus,Lophuromys_dieterleni,Lophuromys_dudui,Lophuromys_flavopunctatus,Lophuromys_laticeps,Lophuromys_luteogaster,Lophuromys_machangui,Lophuromys_margarettae,Lophuromys_medicaudatus,Lophuromys_melanonyx,Lophuromys_nudicaudus,Lophuromys_rahmi,Lophuromys_rita,Lophuromys_sikapusi,Lophuromys_simiensis,Lophuromys_woosnami,Uranomys_ruddi,Desmodillus_auricularis,Gerbilliscus_boehmi,Gerbilliscus_brantsii,Gerbilliscus_gambianus,Gerbilliscus_giffardi,Gerbilliscus_guineae,Gerbilliscus_kempi,Gerbilliscus_leucogaster,Gerbilliscus_nigricaudus,Gerbilliscus_paeba,Gerbilliscus_phillipsi,Gerbilliscus_robustus,Gerbilliscus_tytonis,Gerbilliscus_validus,Gerbilliscus_vallinus,Gerbilliscus_vicinus,Gerbillus_gerbillus,Gerbillus_nanus,Gerbillus_nigeriae,Gerbillus_pusillus,Gerbillus_tarabuli,Taterillus_arenarius,Taterillus_congicus,Taterillus_emini,Taterillus_gracilis,Aethomys_chrysophilus,Aethomys_hindei,Aethomys_ineptus,Aethomys_kaiseri,Aethomys_nyikae,Arvicanthis_abyssinicus,Arvicanthis_ansorgei,Arvicanthis_blicki,Arvicanthis_cf_niloticus,Arvicanthis_nairobae,Arvicanthis_neumanni,Arvicanthis_niloticus,Arvicanthis_rufinus,Colomys_goslingi,Colomys_wologizi,Dasymys_cf_incomtus,Dasymys_medius,Dasymys_montanus,Dasymys_rufulus,Dephomys_defua,Desmomys_harringtoni,Grammomys_cometes,Grammomys_dolichurus,Grammomys_dryas,Grammomys_kuru.poensis,Grammomys_macmillani,Grammomys_minnae,Grammomys_selousi,Grammomys_surdastser,Heimyscus_fumosus,Hybomys_eisentrauti,Hybomys_lunaris,Hybomys_univittatus,Hylomyscus_aeta,Hylomyscus_alleni,Hylomyscus_arcimontensis,Hylomyscus_carillus,Hylomyscus_denniae,Hylomyscus_grandis,Hylomyscus_kerbispeterhansi,Hylomyscus_pamfi,Hylomyscus_parvus,Hylomyscus_simus,Hylomyscus_stella,Hylomyscus_volcanorum,Hylomyscus_walterveryeheni,Lamottemys_okuensis,Lemniscomys_bellieri,Lemniscomys_griselda,Lemniscomys_linulus,Lemniscomys_macculus,Lemniscomys_mittendorfi,Lemniscomys_rosalia,Lemniscomys_striatus,Lemniscomys_zebra,Malacomys_cansdalei,Malacomys_edwardsi,Malacomys_longipes,Mastomys_awashensis,Mastomys_coucha,Mastomys_erythroleucus,Mastomys_huberti,Mastomys_kollmannspergeri,Mastomys_natalensis,Mastomys_pernanus,Micaelamys_granti,Micaelamys_namaquensis,Mus_baoulei,Mus_bufo,Mus_cf_triton,Mus_imberbis,Mus_indutus,Mus_mahomet,Mus_mattheyi,Mus_minutoides,Mus_musculoides,Mus_proconodon,Mus_setulosus,Mus_setzeri,Mus_tenellus,Mus_triton,Mylomys_dybowskii,Myomyscus_cf_brockmani,Myomyscus_verreauxii,Oenomys_hypoxanthus,Oenomys_ornatus,Otomys_anchietae,Otomys_angoniensis,Otomys_auratus,Otomys_barbouri,Otomys_dartmouthi,Otomys_denti,Otomys_helleri,Otomys_irroratus,Otomys_occidentalis,Otomys_simiensis,Otomys_sloggetti,Otomys_tropicalis,Otomys_typus,Otomys_unisulcatus,Otomys_uzungwensis,Otomys_yaldeni,Otomys_zinki,Parotomys_brantsii,Pelomys_campanae,Pelomys_fallax,Pelomys_hopkinsi,Pelomys_minor,Praomys_cf_jacksoni,Praomys_daltoni,Praomys_degraaffi,Praomys_delectorum,Praomys_hartwigi,Praomys_jacksoni,Praomys_lukolelae,Praomys_misonnei,Praomys_mutoni,Praomys_obscurus,Praomys_petteri,Praomys_rostratus,Praomys_tullbergi,Praomys_verschureni,Rhabdomys_bechuanae,Rhabdomys_chakae,Rhabdomys_dilectus,Rhabdomys_pumilio,Stenocephalemys_albipes,Stenocephalemys_albocaudata,Stenocephalemys_griseicauda,Stochomys_longicaudatus,Thallomys_paedulcus,Thamnomys_kempi,Thamnomys_venustus,Typomys_planifrons,Typomys_trivirgatus,Zelotomys_woosnami,Petromus_typicus
AGO_Okavango,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BDI_Bururi,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN_Gotcha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN_Lougba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN_Terou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN_Wannou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA_Okavango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAF_Dzanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
CIV_Dabou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV_Foro,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV_Lamto,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
