Family,Graphiurus_angolensis,MASS,HB,TAIL,Ear,HF,GSKL,ZYGO,M1-M3,Terrestrial,Arboreal,Semiaquatic,Rupicolous
Gliridae,Graphiurus_christyi,45.7,98.8,79.2,15.9,18.4,28.2,15.5,3.2,0,1,0,0
Gliridae,Graphiurus_crassicaudatus,29,97.6,79.8,14.2,18,28,15.1,3.2,0,1,0,0
Gliridae,Graphiurus_johnstoni,24.8,92.6,59.4,13,17.7,25.6,15.5,3.7,0,1,0,0
Gliridae,Graphiurus_kelleni,19.1,74.3,68.5,11.8,16,23.6,13.9,3.4,0,1,0,0
Gliridae,Graphiurus_lorraineus,19.1,82.4,68.3,14.8,16,24,13.5,2.9,0,1,0,0
Gliridae,Graphiurus_microtis,16.8,83,65.7,12.6,16.5,24.5,13.8,3.1,0,1,0,0
Gliridae,Graphiurus_monardi,29.5,98.8,75.2,15.5,16.9,27.4,15,3,0,1,0,0
Gliridae,Graphiurus_murinus,73.1,160,130,15.5,21.9,34.1,19.7,3.9,0,1,0,0
Gliridae,Graphiurus_nagtglasii,28.8,91.5,76.6,13.3,18.5,26.4,14.2,3.1,0,1,0,0
Gliridae,Graphiurus_ocularis,73.1,138.5,105,18.1,26.5,36.8,20.7,5.1,0,1,0,0
Gliridae,Graphiurus_platyops,78,134.3,114.5,19.5,24.2,35.8,19.5,3.3,0,0,0,1
Gliridae,Graphiurus_rupicola,45.7,107.1,78.7,15.2,21.1,30.4,17.1,3.1,0,0,0,1
Gliridae,Graphiurus_surdus,37.5,110,104.2,17.3,21.5,31.3,17.2,3.4,0,0,0,1
Gliridae,Graphiurus_walterveryeheni,24.8,99,72.3,12.3,20.8,27.6,14.6,3.2,0,1,0,0
Gliridae,Beamys_hindei,16.8,72,64,11.3,14.5,22.7,14.4,3,0,1,0,0
NESOMYIDAE,Beamys_major,60.2,144.1,114.1,22,23.1,35.4,17,5.2,0,1,0,0
NESOMYIDAE,Saccostomus_campestris,98.5,156.5,135,20,23.8,37.7,18.4,5.3,0,1,0,0
NESOMYIDAE,Saccostomus_mearnsi,50.3,135.4,40.4,16.7,18.9,30.7,15,4.6,1,0,0,0
NESOMYIDAE,Saccostomus_umbriventer,57.3,129.7,51.5,18.7,21,34.1,17.5,5.9,1,0,0,0
NESOMYIDAE,Delanymys_brooksi,57.3,129.7,51.5,18.7,21,34.1,17.5,5.9,1,0,0,0
NESOMYIDAE,Dendromus_insignis,5.8,56.8,104.1,11.3,18.5,18.3,9.8,2.5,0,1,0,0
NESOMYIDAE,Dendromus_kahuziensis,15.1,80.1,97,15.7,22.3,24.1,12.1,3.8,0,1,0,0
