Location,Land_cover,Biome,Biogeogr,Country,Latitude,Longitude,Elevation,Abundance,Richness,Seasons,Years,PresAbs,Rodents
AGO_Okavango,Natural,Savanna,Zambezian,Angola,-13.1,18.2,1440,3,3,2,3,1,1
BDI_Bururi,Natural,Forest,Congolian,Burundi,-3.9383,29.5969,1880,27,8,2,1,0,1
BEN_Gotcha,Natural,Forest-savanna,Congolian,Benin,8.29,1.79,240,87,5,1,1,0,1
BEN_Lougba,Natural,Forest-savanna,Congolian,Benin,8.27,1.76,240,158,6,1,1,0,1
BEN_Terou,Natural,Forest-savanna,Sudanian,Benin,9.06,2.06,290,63,4,1,1,0,1
BEN_Wannou,Natural,Forest-savanna,Sudanian,Benin,9.02,2.06,290,39,3,1,1,0,1
CAF_Bamingui1,Natural,Guinea-woodland,Sudanian,CAR,7.75,20.95,600,109,8,1,1,0,0
CAF_Bamingui2,Natural,Guinea-woodland,Sudanian,CAR,7.95,20.2,500,31,5,1,1,0,0
CAF_Bohou,Natural,Guinea-woodland,Sudanian,CAR,8.05,21.4,700,58,7,1,1,0,0
CAF_Dzanga,Natural,Rainforest,Congolian,CAR,3.38,16.34,550,307,15,2,2,0,1
CAF_Manovo1,Natural,Sudanian-savanna,Sudanian,CAR,8.33,21.1,650,53,8,1,1,0,0
CAF_Manovo2,Natural,Sudanian-savanna,Sudanian,CAR,9.6,22,500,14,5,1,1,0,0
CIV_Tai1,Natural,Rainforest,Congolian,Ivory_Coast,5.833,-7.333,200,26,6,1,1,0,1
CIV_Tai2,Natural,Rainforest,Congolian,Ivory_Coast,5.833,-7.35,200,553,10,2,3,0,0
CMR_Korup,Mixed,Rainforest,Congolian,Cameroon,5.267,9.133,160,24,9,1,1,0,0
CMR_Kupe1,Mixed,Rainforest,Congolian,Cameroon,4.836,9.68,900,5,1,1,1,0,1
CMR_Oku,Natural,Montane,Congolian,Cameroon,6.254,10.419,2400,4,4,1,3,0,1
COD_Epulu,Natural,Rainforest,Congolian,DR_Congo,1.4,28.583,800,30,6,2,1,0,1
COD_Kisangani1,Natural,Rainforest,Congolian,DR_Congo,1.26988,23.73142,350,10,5,1,1,0,0
COD_Kisangani2,Natural,Rainforest,Congolian,DR_Congo,1.24198,23.70645,400,20,5,1,1,0,0
COD_Kisangani3,Natural,Rainforest,Congolian,DR_Congo,0.647,25.18,400,38,10,1,1,0,0
COD_Kisangani4,Natural,Rainforest,Congolian,DR_Congo,0.14375,25.56527,450,38,10,1,1,0,0
COD_Kisangani5,Natural,Rainforest,Congolian,DR_Congo,0.60507,25.25648,400,86,9,1,1,0,0
COD_Kisangani6,Natural,Rainforest,Congolian,DR_Congo,0.51918,24.17347,400,58,7,1,1,0,0
COD_Kisangani7,Natural,Rainforest,Congolian,DR_Congo,0.2898,25.28692,400,68,9,1,1,0,0
COD_Kisangani8,Natural,Rainforest,Congolian,DR_Congo,0.64153,26.14717,500,69,10,1,1,0,0
COD_Kitwit,Agricultural,Forest-savanna,Congolian,DR Congo,-5.0579,18.9092,450,101,9,1,1,0,1
ETH_Alatish,Natural,Sudanian-savanna,Sudanian,Ethiopia,12.2,35.5,600,10,2,2,2,0,1
ETH_Bale1,Natural,Montane,Ethiopian,Ethiopia,7,39.667,3500,4,1,2,2,0,1
ETH_Bale2,Natural,Montane,Ethiopian,Ethiopia,6.67,39.73,2000,16,3,2,2,0,1
ETH_Bale3,Natural,Montane,Ethiopian,Ethiopia,6.9,39.92,3700,20,1,2,2,0,1
ETH_Bale4,Natural,Montane,Ethiopian,Ethiopia,6.85,39.883,4050,10,1,2,2,0,1
ETH_Bale5,Natural,Montane,Ethiopian,Ethiopia,7.05,39.75,3200,35,1,2,2,0,1
ETH_Chebera,Natural,Montane,Ethiopian,Ethiopia,6.82,36.69,800,12,1,2,2,0,1
ETH_Hugumburda,Natural,Montane,Ethiopian,Ethiopia,12.65,39.55,2000,2,1,1,1,0,1
ETH_Hunkolo,Natural,Montane,Ethiopian,Ethiopia,7.4,39.4,3400,49,2,2,2,0,1
ETH_Jiren,Mixed,Montane,Ethiopian,Ethiopia,7.69,36.85,1800,2,1,2,2,0,1
ETH_Kaka,Natural,Montane,Ethiopian,Ethiopia,7.4,39.1,3500,79,2,2,2,0,1
ETH_Simiens2,Natural,Montane,Ethiopian,Ethiopia,13.23,38.04,3250,14,1,1,1,0,1
ETH_Simiens3,Natural,Montane,Ethiopian,Ethiopia,13.26,38.19,3600,53,1,1,1,0,1
