,Elephantulus_brachyrhynchus,Elephantulus_edwardsii,Elephantulus_intufi,Elephantulus_myurus,Elephantulus_fuscus,Elephantulus_rufescens,Elephantulus_rupestris,Mascroscelides_proboscideus,Petrodromus_tetradactylus,Crocidura_allex,Crocidura_attila,Crocidura_baileyi,Crocidura_batesi,Crocidura_bottegoides,Crocidura_buettikoferi,Crocidura_caliginea,Crocidura_congobelgica,Crocidura_crenata,Crocidura_crossei,Crocidura_cyanea,Crocidura_denti,Crocidura_desperata,Crocidura_dolichura,Crocidura_douceti,Crocidura_eburnea,Crocidura_elgonius,Crocidura_foxi,Crocidura_flavescens,Crocidura_fulvastra,Crocidura_fuscomurina,Crocidura_glassi,Crocidura_goliath,Crocidura_grandiceps,Crocidura_grassei,Crocidura_harenna,Crocidura_hildegardeae,Crocidura_hirta,Crocidura_jacksoni,Crocidura_jouvenetae,Crocidura_lamottei,Crocidura_latona,Crocidura_littoralis,Crocidura_lucina,Crocidura_ludia,Crocidura_luna,Crocidura_lusitania,Crocidura_macmillani,Crocidura_maquassiensis,Crocidura_mariquensis,Crocidura_maurisca,Crocidura_monax,Crocidura_montis,Crocidura_muricauda,Crocidura_mutesae,Crocidura_nana,Crocidura_nanilla,Crocidura_nigeriae,Crocidura_nigrofusca,Crocidura_nimbae,Crocidura_nimbasilvanus,Crocidura_niobe,Crocidura_obscurior,Crocidura_olivieri,Crocidura_parvipes,Crocidura_poensis,Crocidura_roosevelti,Crocidura_selina,Crocidura_silacea,Crocidura_smithii,Crocidura_somalica,Crocidura_stenocephala,Crocidura_tansaniana,Crocidura_tarella,Crocidura_telfordi,Crocidura_thalia,Crocidura_theresae,Crocidura_turba,Crocidura_usambarae,Crocidura_viaria,Crocidura_yankariensis,Myosorex_babaulti,Myosorex_blarina,Myosorex_bururiensis,Myosorex_kihaulei,Myosorex_okuensis,Myosorex_cafer,Myosorex_varius,Myosorex_zinki,Paracrocidura_maxima,Paracrocidura_schoutedeni,Ruwenzorisorex_suncoides,Scutisorex_somereni,Suncus_aequatorius,Suncus_howelli,Suncus_hututsi,Suncus_infinitesimus,Suncus_lixus,Suncus_varilla,Suncus_megalura,Suncus_remyi,Sylvisorex_camerunensis,Sylvisorex_granti,Sylvisorex_isabellae,Sylvisorex_johnstoni,Sylvisorex_konganensis,Sylvisorex_lunaris,Sylvisorex_ollula,Sylvisorex_pluvalis,Sylvisorex_volcanorum
AGO_Okavango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BDI_Bururi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,0,0,0,0,0,0,5,0,0,8
BEN_Gotcha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,53,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN_Lougba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,94,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BEN_Terou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,51,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN_Wannou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF_Bamingui1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0
CAF_Bamingui2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF_Bohou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF_Dzanga,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,7,0,0,0,114,3,0,11,0,0
