Family,Species,MASS,HB,TAIL,Ear,HF,GSKL,ZYGO,I-M3,Terrestrial,Arboreal,Semiaquatic,Rupicolous
SORICIDAE,Congosorex_phillipsorum,7.9,71.3,37.1,7.4,12.7,19.2,10.7,8.2,1,0,0,0
SORICIDAE,Congosorex_polli,7.14,60,24,6.5,10,20.3,10.4,8.7,1,0,0,0
SORICIDAE,Congosorex_verheyeni,7.14,59,20,6,9,6,10,8,1,0,0,0
SORICIDAE,Crocidura_allex,5.2,60.7,49.5,7.9,11.4,17.3,7.7,7.1,1,0,0,0
SORICIDAE,Crocidura_ansellorum,4.6,57.3,46.3,7.7,11.2,17.4,8.2,7.4,1,0,0,0
SORICIDAE,Crocidura_attila,5,80.9,49,10,13.5,21,9,9,1,0,0,0
SORICIDAE,Crocidura_baileyi,11.2,86,44,12,14.4,22,10.2,10.1,1,0,0,0
SORICIDAE,Crocidura_batesi,12.7,78,57.9,11.5,14.3,24,10,11.6,1,0,0,0
SORICIDAE,Crocidura_bottegi,4,48.5,29.5,7,9,15.1,6.8,6.2,1,0,0,0
SORICIDAE,Crocidura_bottegoides,3.1,54,44.3,7,10.3,14.7,7.1,5.9,1,0,0,0
SORICIDAE,Crocidura_buettikoferi,17.5,97,69,11,16,24,9.9,10.6,1,0,0,0
SORICIDAE,Crocidura_caliginea,8.3,69.6,48.7,7.1,11.7,21.8,9.6,10.1,1,0,0,0
SORICIDAE,Crocidura_cinderella,5.6,68.5,46.5,8.5,11.5,18.8,7.7,8.2,1,0,0,0
SORICIDAE,Crocidura_congobelgica,17,76,59,9,14,20.7,9.1,8.7,1,0,0,0
SORICIDAE,Crocidura_crenata,8.4,72.4,85.1,10.1,15.7,19,7.7,8.8,1,0,0,0
SORICIDAE,Crocidura_crossei,5.3,68.9,47.9,9.8,12.3,18.8,7.9,8.1,1,0,0,0
SORICIDAE,Crocidura_cyanea,7.7,82,50,8.9,12.8,20.8,9.2,8.9,1,0,0,0
SORICIDAE,Crocidura_denti,10.5,63,46,8,13,20.6,9.3,9,1,0,0,0
SORICIDAE,Crocidura_desperata,23.3,89,67,8.1,18.7,25.9,10.9,11.2,1,0,0,0
SORICIDAE,Crocidura_dolichura,5.6,65,74,9,12.5,19.1,8.3,8.1,0,1,0,0
SORICIDAE,Crocidura_douceti,4.5,52,42,8,10,16.9,7.2,7.1,1,0,0,0
SORICIDAE,Crocidura_eburnea,3.5,61,36.8,7.3,10.6,16.3,7.3,7.4,1,0,0,0
SORICIDAE,Crocidura_eisentrauti,9.1,72.3,57.2,8.7,12.7,19.7,8.6,8.3,1,0,0,0
SORICIDAE,Crocidura_elgonius,3.4,62,36,7,10,16.5,7.2,7,1,0,0,0
SORICIDAE,Crocidura_erica,15.6,96,54,8,15,23.9,9.9,10.2,1,0,0,0
SORICIDAE,Crocidura_fischeri,14,86,48,9.7,13,26.7,11.5,11.4,1,0,0,0
SORICIDAE,Crocidura_flavescens,27.5,99.8,48.7,10.3,14.8,26.4,10.8,11.8,1,0,0,0
SORICIDAE,Crocidura_foxi,16.8,103.5,60.7,10,16.9,24.5,10.5,10.6,1,0,0,0
SORICIDAE,Crocidura_fulvastra,20,100,55,12,15,23.5,9.8,10,1,0,0,0
SORICIDAE,Crocidura_fumosa,7.7,80,52,9,16,20.9,9.8,9,1,0,0,0
SORICIDAE,Crocidura_fuscomurina,3.7,57.9,38.5,7.6,9.8,16.2,7.2,6.6,1,0,0,0
SORICIDAE,Crocidura_glassi,11.2,75,51.7,10,15.9,23.3,10.3,10.3,1,0,0,0
SORICIDAE,Crocidura_goliath,61.2,165.4,112.8,16.6,25.4,38.1,14.6,17.3,1,0,0,0
SORICIDAE,Crocidura_grandiceps,23.5,117,65,11,18.1,26.1,10.9,11.4,1,0,0,0
SORICIDAE,Crocidura_grassei,11.6,81.3,76.8,10.8,15.8,22.9,9.6,10.2,1,0,0,0
SORICIDAE,Crocidura_greenwoodi,15.6,71,51,10.1,13,21.4,9,9.1,1,0,0,0
SORICIDAE,Crocidura_harenna,7.8,70.1,46.5,8.6,13.1,19,9.2,8.1,1,0,0,0
SORICIDAE,Crocidura_hildegardeae,6.3,71.5,50.1,9,13,18.8,8.5,7.9,1,0,0,0
SORICIDAE,Crocidura_hirta,15.6,85.7,47.3,10.1,14.3,23.2,9.9,10,1,0,0,0
SORICIDAE,Crocidura_jacksoni,8.3,72.3,56.5,8.4,12.9,20.5,9,8.9,1,0,0,0
SORICIDAE,Crocidura_jouvenetae,9.4,74.8,55.8,9.4,13.8,21.6,8.8,9.7,1,0,0,0
SORICIDAE,Crocidura_kivuana,9.9,75,66.5,8,13,20.9,9.3,9.1,0,0,1,0
SORICIDAE,Crocidura_lamottei,20.5,87.5,45,11.5,15,25.4,10.5,11.1,1,0,0,0
SORICIDAE,Crocidura_lanosa,22.6,95.6,77.6,8.6,19.3,25.4,11,11,1,0,0,0
SORICIDAE,Crocidura_latona,6.6,68,59,9,14,19.8,8.9,8.4,1,0,0,0
SORICIDAE,Crocidura_littoralis,21,93,68,9.5,16,24.4,10.6,10.2,1,0,0,0
SORICIDAE,Crocidura_longipes,19.3,105,62,11,18.2,24.9,10.4,10.7,0,0,1,0
SORICIDAE,Crocidura_lucina,11.2,86,53,12,17,23.1,10.3,10.4,1,0,0,0
SORICIDAE,Crocidura_ludia,6.5,65,57,9,13,18.2,8.2,7.8,1,0,0,0
SORICIDAE,Crocidura_luna,11,85,52,9.5,14.5,22.6,9.9,10.7,1,0,0,0
SORICIDAE,Crocidura_lusitania,3.9,59.8,33.8,7,9.4,16.1,7.1,6.9,1,0,0,0
SORICIDAE,Crocidura_macarthuri,12,72,40,8.5,12.5,23.2,9.7,10.2,1,0,0,0
SORICIDAE,Crocidura_macmillani,8,77,55,9,14.1,22.6,9.9,9.9,1,0,0,0
