"","regions","row","col","Bsor","Bsim","Bnes"
"1","Southern-Southern","AGO_Okavango","AGO_Okavango",0,0,0
"2","Congolian-Southern","BDI_Bururi","AGO_Okavango",1,1,0
"3","Southern-Southern","BWA_Xugana","AGO_Okavango",0.733333333333333,0.636363636363636,0.096969696969697
"4","Congolian-Southern","CAF_Dzanga","AGO_Okavango",1,1,0
"5","Sudanian-Southern","CAF_Floris","AGO_Okavango",0.933333333333333,0.909090909090909,0.0242424242424242
"6","Congolian-Southern","CAF_Mbaiki","AGO_Okavango",0.904761904761905,0.9,0.00476190476190476
"7","Sudanian-Southern","CIV_Comoe","AGO_Okavango",0.96875,0.909090909090909,0.0596590909090909
"8","Congolian-Southern","CIV_Tai","AGO_Okavango",1,1,0
"9","Congolian-Southern","CMR_Cameroon1","AGO_Okavango",1,1,0
"10","Congolian-Southern","CMR_Cameroon2","AGO_Okavango",1,1,0
"11","Congolian-Southern","CMR_Cameroon3","AGO_Okavango",1,1,0
"12","Congolian-Southern","CMR_Cameroon4","AGO_Okavango",1,1,0
"13","Congolian-Southern","CMR_Dja","AGO_Okavango",1,1,0
"14","Sudanian-Southern","CMR_Maroua","AGO_Okavango",0.925925925925926,0.909090909090909,0.0168350168350168
"15","Congolian-Southern","CMR_Mpem","AGO_Okavango",1,1,0
"16","Congolian-Southern","COD_Epulu","AGO_Okavango",1,1,0
"17","Congolian-Southern","COD_Kitwit","AGO_Okavango",1,1,0
"18","Congolian-Southern","COD_Lomami","AGO_Okavango",1,1,0
"19","Congolian-Southern","COD_Yangambi","AGO_Okavango",1,1,0
"20","Sudanian-Southern","ETH_Alatish","AGO_Okavango",0.935483870967742,0.909090909090909,0.0263929618768328
"21","Somalian-Southern","ETH_Babille","AGO_Okavango",0.894736842105263,0.875,0.0197368421052632
"22","Ethiopian-Southern","ETH_Bale","AGO_Okavango",1,1,0
"23","Ethiopian-Southern","ETH_Beletta","AGO_Okavango",0.9,0.888888888888889,0.0111111111111111
"24","Ethiopian-Southern","ETH_Godare","AGO_Okavango",0.931034482758621,0.909090909090909,0.0219435736677116
"25","Ethiopian-Southern","ETH_Simien","AGO_Okavango",1,1,0
"26","Congolian-Southern","GAB_Maboumine","AGO_Okavango",1,1,0
"27","Congolian-Southern","GIN_Bero","AGO_Okavango",1,1,0
"28","Congolian-Southern","GIN_Diecke","AGO_Okavango",1,1,0
"29","Sudanian-Southern","GIN_Niger","AGO_Okavango",0.862068965517241,0.818181818181818,0.0438871473354232
"30","Congolian-Southern","GIN_Nimba1","AGO_Okavango",1,1,0
"31","Congolian-Southern","GIN_Nimba2","AGO_Okavango",1,1,0
"32","Sudanian-Southern","GIN_Simandou1","AGO_Okavango",1,1,0
"33","Sudanian-Southern","GIN_Simandou2","AGO_Okavango",1,1,0
"34","Congolian-Southern","GIN_Ziama1","AGO_Okavango",1,1,0
"35","Congolian-Southern","GIN_Ziama2","AGO_Okavango",1,1,0
"36","Sudanian-Southern","GNB_Cacheu","AGO_Okavango",0.923076923076923,0.909090909090909,0.013986013986014
"37","Sudanian-Southern","GNB_Cantanhez","AGO_Okavango",1,1,0
"38","Zambezian-Southern","KEN_Bogoria","AGO_Okavango",0.909090909090909,0.909090909090909,0
"39","Zambezian-Southern","KEN_Kakamega","AGO_Okavango",0.945945945945946,0.909090909090909,0.0368550368550369
"40","Somalian-Southern","KEN_Masalani","AGO_Okavango",1,1,0
"41","Somalian-Southern","KEN_Meru","AGO_Okavango",1,1,0
"42","Somalian-Southern","KEN_Sokoke1","AGO_Okavango",0.933333333333333,0.909090909090909,0.0242424242424242
"43","Somalian-Southern","KEN_Sokoke2","AGO_Okavango",0.941176470588235,0.909090909090909,0.0320855614973262
"44","Congolian-Southern","LBR_Nimba1","AGO_Okavango",1,1,0
"45","Congolian-Southern","LBR_Nimba2","AGO_Okavango",1,1,0
"46","Congolian-Southern","LBR_Nimba3","AGO_Okavango",1,1,0
"47","Congolian-Southern","LBR_Wologizi","AGO_Okavango",1,1,0
"48","Sudanian-Southern","MLI_Bandiagara","AGO_Okavango",1,1,0
"49","Sudanian-Southern","MLI_Bla","AGO_Okavango",0.875,0.8,0.075
"50","Sudanian-Southern","MLI_Kita","AGO_Okavango",1,1,0
"51","Zambezian-Southern","MOZ_Codzo","AGO_Okavango",0.837837837837838,0.727272727272727,0.110565110565111
"52","Zambezian-Southern","MOZ_Mabu","AGO_Okavango",1,1,0
"53","Zambezian-Southern","MWI_Liwonde","AGO_Okavango",0.933333333333333,0.909090909090909,0.0242424242424242
"54","Zambezian-Southern","MWI_Mulanje1","AGO_Okavango",0.9375,0.909090909090909,0.0284090909090909
"55","Zambezian-Southern","MWI_Mulanje2","AGO_Okavango",1,1,0
"56","Zambezian-Southern","MWI_Mulanje3","AGO_Okavango",1,1,0
"57","Zambezian-Southern","MWI_Zomba1","AGO_Okavango",0.875,0.818181818181818,0.0568181818181818
"58","Zambezian-Southern","MWI_Zomba2","AGO_Okavango",0.894736842105263,0.875,0.0197368421052632
"59","Southern-Southern","NAM_Gobabeb","AGO_Okavango",0.894736842105263,0.875,0.0197368421052632
"60","Sudanian-Southern","NER_W","AGO_Okavango",0.923076923076923,0.909090909090909,0.013986013986014
"61","Congolian-Southern","NGA_Delta","AGO_Okavango",1,1,0
"62","Congolian-Southern","NGA_Edo1","AGO_Okavango",1,1,0
"63","Congolian-Southern","NGA_Edo2","AGO_Okavango",1,1,0
"64","Sudanian-Southern","NGA_Edo3","AGO_Okavango",1,1,0
"65","Sudanian-Southern","NGA_Gotel","AGO_Okavango",0.909090909090909,0.909090909090909,0
"66","Congolian-Southern","SLE_Gola1","AGO_Okavango",1,1,0
"67","Congolian-Southern","SLE_Gola2","AGO_Okavango",1,1,0
"68","Congolian-Southern","SLE_Gola3","AGO_Okavango",1,1,0
"69","Sudanian-Southern","SLE_Seli","AGO_Okavango",0.96,0.909090909090909,0.0509090909090909
"70","Somalian-Southern","SOM_Jubba","AGO_Okavango",1,1,0
"71","Southern-Southern","SWZ_IYSIS","AGO_Okavango",0.777777777777778,0.727272727272727,0.0505050505050505
"72","Southern-Southern","SWZ_Lubombo","AGO_Okavango",0.806451612903226,0.727272727272727,0.0791788856304985
"73","Zambezian-Southern","TZA_Coastal1","AGO_Okavango",1,1,0
"74","Zambezian-Southern","TZA_Coastal2","AGO_Okavango",0.92,0.909090909090909,0.0109090909090909
"75","Congolian-Southern","TZA_Minziro","AGO_Okavango",1,1,0
"76","Zambezian-Southern","TZA_Tarangire","AGO_Okavango",1,1,0
"77","Zambezian-Southern","TZA_Udzungwa1","AGO_Okavango",1,1,0
"78","Zambezian-Southern","TZA_Udzungwa2","AGO_Okavango",0.91304347826087,0.909090909090909,0.00395256916996047
"79","Zambezian-Southern","TZA_Usambara1","AGO_Okavango",1,1,0
"80","Zambezian-Southern","TZA_Usambara2","AGO_Okavango",1,1,0
"81","Southern-Southern","ZAF_Algeria","AGO_Okavango",0.904761904761905,0.9,0.00476190476190476
"82","Southern-Southern","ZAF_DeHel","AGO_Okavango",0.888888888888889,0.857142857142857,0.0317460317460317
"83","Southern-Southern","ZAF_DeHoop","AGO_Okavango",0.888888888888889,0.857142857142857,0.0317460317460317
"84","Southern-Southern","ZAF_Durban","AGO_Okavango",0.857142857142857,0.818181818181818,0.038961038961039
"85","Southern-Southern","ZAF_Goodhouse","AGO_Okavango",0.904761904761905,0.9,0.00476190476190476
"86","Southern-Southern","ZAF_Knysna","AGO_Okavango",0.888888888888889,0.857142857142857,0.0317460317460317
"87","Zambezian-Southern","ZAF_Kruger1","AGO_Okavango",0.703703703703704,0.636363636363636,0.0673400673400673
"88","Zambezian-Southern","ZAF_Kruger2","AGO_Okavango",0.851851851851852,0.818181818181818,0.0336700336700337
"89","Zambezian-Southern","ZAF_Kruger3","AGO_Okavango",0.777777777777778,0.727272727272727,0.0505050505050505
"90","Zambezian-Southern","ZAF_Pafuri","AGO_Okavango",0.842105263157895,0.727272727272727,0.114832535885167
"91","Southern-Southern","ZAF_Soutpansberg","AGO_Okavango",0.925925925925926,0.909090909090909,0.0168350168350168
"92","Southern-Southern","ZAF_Sudwala","AGO_Okavango",0.8,0.727272727272727,0.0727272727272727
"93","Southern-Southern","ZAR_Kalahari","AGO_Okavango",0.857142857142857,0.666666666666667,0.19047619047619
"94","Zambezian-Southern","ZMB_Mongu","AGO_Okavango",0.612903225806452,0.454545454545455,0.158357771260997
"95","Zambezian-Southern","ZWE_Kanyati","AGO_Okavango",0.789473684210526,0.75,0.0394736842105263
"96","Zambezian-Southern","ZWE_Mana","AGO_Okavango",0.619047619047619,0.6,0.019047619047619
"97","Zambezian-Southern","ZWE_Sengwa","AGO_Okavango",0.823529411764706,0.727272727272727,0.0962566844919786
"98","Southern-Congolian","AGO_Okavango","BDI_Bururi",1,1,0
"99","Congolian-Congolian","BDI_Bururi","BDI_Bururi",0,0,0
"100","Southern-Congolian","BWA_Xugana","BDI_Bururi",1,1,0
"101","Congolian-Congolian","CAF_Dzanga","BDI_Bururi",0.84,0.75,0.09
"102","Sudanian-Congolian","CAF_Floris","BDI_Bururi",0.851851851851852,0.75,0.101851851851852
"103","Congolian-Congolian","CAF_Mbaiki","BDI_Bururi",0.888888888888889,0.875,0.0138888888888889
"104","Sudanian-Congolian","CIV_Comoe","BDI_Bururi",0.868852459016393,0.5,0.368852459016393
