"","Site","alt","alt_rough","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","Location","Land_cover","Biome","Biogeogr","Country","Latitude","Longitude","Elevation","Abundance","Richness","Seasons","Years","PresAbs","Shrews"
"1","1",1413,131,203,220,169,1176,221,0,91,621,2,250,2,157,61,2149,309,53,256,215,169,"AGO_Okavango","Natural","Savanna","Zambezian","Angola",-13.1,18.2,1440,10,10,2,3,1,1
"2","2",1992,665,163,169,153,1459,225,4,65,605,31,349,115,108,72,671,233,85,148,166,153,"BDI_Bururi","Natural","Forest","Congolian","Burundi",-3.9383,29.5969,1880,171,12,2,1,0,1
"3","3",243,46,270,288,252,1095,188,6,74,530,19,168,530,115,71,1371,361,200,161,252,273,"BEN_Gotcha","Natural","Forest-savanna","Congolian","Benin",8.29,1.79,240,100,10,1,1,0,1
"4","4",242,56,270,288,252,1089,186,6,74,524,19,169,524,114,71,1347,360,201,159,252,273,"BEN_Lougba","Natural","Forest-savanna","Congolian","Benin",8.27,1.76,240,105,7,1,1,0,1
"5","5",288,44,269,289,249,1132,225,3,86,638,13,125,638,122,67,1481,367,186,181,249,270,"BEN_Terou","Natural","Forest-savanna","Sudanian","Benin",9.06,2.06,290,181,7,1,1,0,1
"6","6",307,44,268,288,248,1134,222,4,86,635,14,126,635,121,67,1468,365,185,180,248,269,"BEN_Wannou","Natural","Forest-savanna","Sudanian","Benin",9.02,2.06,290,59,6,1,1,0,1
"7","7",951,2,222,259,166,464,111,0,105,304,1,154,4,157,55,3807,348,65,283,251,167,"BWA_Okavango","Natural","Savanna","Southern","Botswana",-19.467,23.377,950,6,6,2,1,0,0
"8","8",534,97,244,252,238,1581,214,29,46,595,118,304,546,110,78,573,316,176,140,239,244,"CAF_Dzanga","Natural","Rainforest","Congolian","CAR",3.38,16.34,550,232,10,2,2,0,1
"9","9",58,77,266,277,250,1710,510,18,88,905,135,309,266,75,69,1045,322,214,108,261,271,"CIV_Dabou","Degraded","Forest","Congolian","Ivory_Coast",5.35,-4.433,50,178,5,2,2,0,0
"10","10",284,19,268,281,252,1088,197,10,61,433,48,246,422,115,76,1076,351,201,150,257,269,"CIV_Foro","Degraded","Guinea-woodland","Sudanian","Ivory_Coast",7.917,-5,300,145,8,2,2,0,0
"11","11",102,38,268,282,254,1211,200,23,53,521,118,331,275,93,72,1030,338,209,129,273,266,"CIV_Lamto","Degraded","Forest-savanna","Congolian","Ivory_Coast",6.2,-4.967,100,92,10,2,2,0,0
"12","12",209,30,258,269,244,1753,300,23,55,652,121,359,547,93,75,925,326,203,123,248,262,"CIV_Tai1","Natural","Rainforest","Congolian","Ivory_Coast",5.833,-7.333,200,236,10,1,1,0,1
