"","species_data_updated.1"
"Elephantulus_myurus","Elephantulus_myurus"
"Elephantulus_edwardii","Elephantulus_edwardii"
"Macroscelides_proboscideus","Macroscelides_proboscideus"
"Petrodromus_tetradactylus","Petrodromus_tetradactylus"
"Elephantulus_fuscus","Elephantulus_fuscus"
"Elephantulus_intufi","Elephantulus_intufi"
"Elephantulus_rupestris","Elephantulus_rupestris"
"Elephantulus_brachyrhynchus","Elephantulus_brachyrhynchus"
"Elephantulus_rufescens","Elephantulus_rufescens"
"Myosorex_zinki","Myosorex_zinki"
"Myosorex_babaulti","Myosorex_babaulti"
"Myosorex_varius","Myosorex_varius"
"Myosorex_cafer","Myosorex_cafer"
"Myosorex_blarina","Myosorex_blarina"
"Myosorex_okuensis","Myosorex_okuensis"
"Myosorex_kihaulei","Myosorex_kihaulei"
"Myosorex_bururiensis","Myosorex_bururiensis"
"Sylvisorex_johnstoni","Sylvisorex_johnstoni"
"Suncus_aequatorius","Suncus_aequatorius"
"Sylvisorex_howelli","Sylvisorex_howelli"
"Sylvisorex_lunaris","Sylvisorex_lunaris"
"Sylvisorex_camerunensis","Sylvisorex_camerunensis"
"Sylvisorex_granti","Sylvisorex_granti"
"Sylvisorex_vulcanorum","Sylvisorex_vulcanorum"
"Suncus_hututsi","Suncus_hututsi"
"Suncus_remyi","Suncus_remyi"
"Suncus_infinitesimus","Suncus_infinitesimus"
"Suncus_varilla","Suncus_varilla"
"Suncus_megalura","Suncus_megalura"
"Ruwenzorisorex_suncoides","Ruwenzorisorex_suncoides"
"Sylvisorex_konganensis","Sylvisorex_konganensis"
"Scutisorex_somereni","Scutisorex_somereni"
"Sylvisorex_ollula","Sylvisorex_ollula"
"Crocidura_roosevelti","Crocidura_roosevelti"
"Crocidura_latona","Crocidura_latona"
"Crocidura_caliginea","Crocidura_caliginea"
"Crocidura_tansaniana","Crocidura_tansaniana"
"Crocidura_cyanea","Crocidura_cyanea"
"Crocidura_poensis","Crocidura_poensis"
"Crocidura_buettikoferi","Crocidura_buettikoferi"
