"","regions","mean","SD"
"1","Congolian-Congolian",0.060717664839338,0.126234712105748
"2","Congolian-Ethiopian",0.00335935657827658,0.0173632129470498
"3","Congolian-Somalian",0.0173851414869186,0.0515478943969832
"4","Congolian-Southern",0.0127883760250286,0.0424990754970855
"5","Congolian-Sudanian",0.0233197820289583,0.0565452069426717
"6","Congolian-Zambezian",0.0179825953596206,0.0473297775498905
"7","Ethiopian-Congolian",0.00335935657827658,0.0173632129470498
"8","Ethiopian-Ethiopian",0.0850050348339096,0.127542278329794
"9","Ethiopian-Somalian",0.00899657304697939,0.0370544884882746
"10","Ethiopian-Southern",0.00298183488591143,0.0159434748547997
"11","Ethiopian-Sudanian",0.00727546540874518,0.0314787131014946
"12","Ethiopian-Zambezian",0.00444942059051461,0.0168268651819992
"13","Somalian-Congolian",0.0173851414869186,0.0515478943969832
"14","Somalian-Ethiopian",0.00899657304697939,0.0370544884882746
"15","Somalian-Somalian",0.0594399427732761,0.076477116745947
"16","Somalian-Southern",0.00946475180915921,0.0236047565745066
"17","Somalian-Sudanian",0.0227628388855599,0.0444344302298152
"18","Somalian-Zambezian",0.0349511015179342,0.0523436750450239
"19","Southern-Congolian",0.0127883760250286,0.0424990754970855
"20","Southern-Ethiopian",0.00298183488591143,0.0159434748547997
"21","Southern-Somalian",0.00946475180915921,0.0236047565745066
"22","Southern-Southern",0.0749588945543973,0.122285743098603
"23","Southern-Sudanian",0.00827479406012309,0.0245754444081074
"24","Southern-Zambezian",0.0301164353095758,0.0595741603104328
"25","Sudanian-Congolian",0.0233197820289583,0.0565452069426717
"26","Sudanian-Ethiopian",0.00727546540874518,0.0314787131014946
"27","Sudanian-Somalian",0.0227628388855599,0.0444344302298152
"28","Sudanian-Southern",0.00827479406012309,0.0245754444081074
"29","Sudanian-Sudanian",0.0511553980403534,0.082377861938658
"30","Sudanian-Zambezian",0.0141075894387616,0.0297586662952063
"31","Zambezian-Congolian",0.0179825953596206,0.0473297775498905
"32","Zambezian-Ethiopian",0.00444942059051461,0.0168268651819992
"33","Zambezian-Somalian",0.0349511015179342,0.0523436750450239
"34","Zambezian-Southern",0.0301164353095758,0.0595741603104328
"35","Zambezian-Sudanian",0.0141075894387616,0.0297586662952063
"36","Zambezian-Zambezian",0.0587283621819184,0.0843035574587505
