"","regions","mean","SD"
"1","Congolian-Congolian",0.773071399010346,0.289080784705993
"2","Congolian-Ethiopian",0.987575892857143,0.0540302793335573
"3","Congolian-Somalian",0.952900793650794,0.112135110159029
"4","Congolian-Southern",0.964693145885454,0.0888287811418152
"5","Congolian-Sudanian",0.904620851370851,0.168599287745196
"6","Congolian-Zambezian",0.944119868119868,0.107915317651903
"7","Ethiopian-Congolian",0.987575892857143,0.0540302793335574
"8","Ethiopian-Ethiopian",0.629008556547619,0.322861207867873
"9","Ethiopian-Somalian",0.953819444444444,0.122832067522577
"10","Ethiopian-Southern",0.983498041310541,0.0570267097371452
"11","Ethiopian-Sudanian",0.968607954545455,0.0973852456658541
"12","Ethiopian-Zambezian",0.977519036894037,0.0680218976721094
"13","Somalian-Congolian",0.952900793650794,0.112135110159029
"14","Somalian-Ethiopian",0.953819444444444,0.122832067522577
"15","Somalian-Somalian",0.542063492063492,0.332774069222264
"16","Somalian-Southern",0.940471102971103,0.106433061029884
"17","Somalian-Sudanian",0.907771164021164,0.132240444600019
"18","Somalian-Zambezian",0.843650793650794,0.142100843450897
"19","Southern-Congolian",0.964693145885454,0.0888287811418152
"20","Southern-Ethiopian",0.983498041310541,0.0570267097371452
"21","Southern-Somalian",0.940471102971103,0.106433061029884
"22","Southern-Southern",0.698250420045292,0.301466884944807
"23","Southern-Sudanian",0.962485868041424,0.077863357191057
"24","Southern-Zambezian",0.860571833648757,0.20048997003223
"25","Sudanian-Congolian",0.904620851370851,0.168599287745196
"26","Sudanian-Ethiopian",0.968607954545455,0.0973852456658541
"27","Sudanian-Somalian",0.907771164021164,0.132240444600019
"28","Sudanian-Southern",0.962485868041424,0.077863357191057
"29","Sudanian-Sudanian",0.706781661411291,0.307939146474714
"30","Sudanian-Zambezian",0.93094712678046,0.102444976450285
"31","Zambezian-Congolian",0.944119868119868,0.107915317651903
"32","Zambezian-Ethiopian",0.977519036894037,0.0680218976721094
"33","Zambezian-Somalian",0.843650793650794,0.142100843450897
"34","Zambezian-Southern",0.860571833648757,0.20048997003223
"35","Zambezian-Sudanian",0.93094712678046,0.102444976450285
"36","Zambezian-Zambezian",0.684873255143525,0.292231725387863
