"","regions","row","col","Bsor","Bsim","Bnes"
"1","Zambezian-Zambezian","AGO_Okavango","AGO_Okavango",0,0,0
"2","Congolian-Zambezian","BDI_Bururi","AGO_Okavango",1,1,0
"3","Congolian-Zambezian","BEN_Gotcha","AGO_Okavango",1,1,0
"4","Congolian-Zambezian","BEN_Lougba","AGO_Okavango",1,1,0
"5","Sudanian-Zambezian","BEN_Terou","AGO_Okavango",1,1,0
"6","Sudanian-Zambezian","BEN_Wannou","AGO_Okavango",1,1,0
"7","Southern-Zambezian","BWA_Okavango","AGO_Okavango",0.75,0.666666666666667,0.0833333333333333
"8","Congolian-Zambezian","CAF_Dzanga","AGO_Okavango",1,1,0
"9","Congolian-Zambezian","CIV_Dabou","AGO_Okavango",1,1,0
"10","Sudanian-Zambezian","CIV_Foro","AGO_Okavango",1,1,0
"11","Congolian-Zambezian","CIV_Lamto","AGO_Okavango",1,1,0
"12","Congolian-Zambezian","CIV_Tai1","AGO_Okavango",0.9,0.9,0
"13","Congolian-Zambezian","CMR_Kupe1","AGO_Okavango",0.904761904761905,0.9,0.00476190476190476
"14","Congolian-Zambezian","CMR_Kupe2","AGO_Okavango",1,1,0
"15","Congolian-Zambezian","CMR_Kupe3","AGO_Okavango",1,1,0
"16","Congolian-Zambezian","CMR_Oku","AGO_Okavango",1,1,0
"17","Congolian-Zambezian","COD_Epulu","AGO_Okavango",1,1,0
"18","Congolian-Zambezian","COD_Irangi","AGO_Okavango",1,1,0
"19","Congolian-Zambezian","COD_Ituri","AGO_Okavango",1,1,0
"20","Congolian-Zambezian","COD_Kisangani10","AGO_Okavango",0.931034482758621,0.9,0.0310344827586207
"21","Congolian-Zambezian","COD_Kisangani11","AGO_Okavango",1,1,0
"22","Congolian-Zambezian","COD_Kisangani12","AGO_Okavango",1,1,0
"23","Congolian-Zambezian","COD_Kitwit","AGO_Okavango",0.931034482758621,0.9,0.0310344827586207
"24","Sudanian-Zambezian","ETH_Alatish","AGO_Okavango",0.909090909090909,0.9,0.00909090909090909
"25","Somalian-Zambezian","ETH_Arbaminch","AGO_Okavango",0.888888888888889,0.875,0.0138888888888889
"26","Ethiopian-Zambezian","ETH_Arsi","AGO_Okavango",1,1,0
"27","Ethiopian-Zambezian","ETH_Bale1","AGO_Okavango",1,1,0
"28","Ethiopian-Zambezian","ETH_Bale2","AGO_Okavango",1,1,0
"29","Ethiopian-Zambezian","ETH_Bale3","AGO_Okavango",1,1,0
"30","Ethiopian-Zambezian","ETH_Bale4","AGO_Okavango",1,1,0
