"","regions","mean","SD"
"1","Congolian-Congolian",0.0557791127258447,0.103365476569823
"2","Congolian-Ethiopian",0.00550650936365222,0.0285290856136377
"3","Congolian-Somalian",0.0251343734696676,0.128237971425812
"4","Congolian-Southern",0.00232265512265512,0.0375378927268894
"5","Congolian-Sudanian",0.0508149402141359,0.148329947062501
"6","Congolian-Zambezian",0.025495404151368,0.0771079507915948
"7","Ethiopian-Congolian",0.00550650936365222,0.0285290856136377
"8","Ethiopian-Ethiopian",0.0272108843537415,0.0915018021743355
"9","Ethiopian-Somalian",0,0
"10","Ethiopian-Southern",0,0
"11","Ethiopian-Sudanian",0.00597267316017316,0.03958817834367
"12","Ethiopian-Zambezian",0.00152338263240519,0.0130995739005608
"13","Somalian-Congolian",0.0251343734696676,0.128237971425812
"14","Somalian-Ethiopian",0,0
"15","Somalian-Somalian",0.0266666666666667,0.0922958206990897
"16","Somalian-Southern",0.0166666666666667,0.0921003570262079
"17","Somalian-Sudanian",0.048968253968254,0.166070405042853
"18","Somalian-Zambezian",0.0793187514240146,0.189613759325122
"19","Southern-Congolian",0.00232265512265512,0.0375378927268894
"20","Southern-Ethiopian",0,0
"21","Southern-Somalian",0.0166666666666667,0.0921003570262079
"22","Southern-Southern",0.0532169312169312,0.139031464608062
"23","Southern-Sudanian",0.00113196988196988,0.0118190552539506
"24","Southern-Zambezian",0.0266542034963088,0.111153837686139
"25","Sudanian-Congolian",0.0508149402141359,0.148329947062501
"26","Sudanian-Ethiopian",0.00597267316017316,0.03958817834367
"27","Sudanian-Somalian",0.048968253968254,0.166070405042853
"28","Sudanian-Southern",0.00113196988196988,0.0118190552539506
"29","Sudanian-Sudanian",0.083168740981241,0.178238092699662
"30","Sudanian-Zambezian",0.0433063998587412,0.128589378295535
"31","Zambezian-Congolian",0.025495404151368,0.0771079507915948
"32","Zambezian-Ethiopian",0.00152338263240519,0.0130995739005608
"33","Zambezian-Somalian",0.0793187514240146,0.189613759325122
"34","Zambezian-Southern",0.0266542034963088,0.111153837686139
"35","Zambezian-Sudanian",0.0433063998587412,0.128589378295535
"36","Zambezian-Zambezian",0.0719229293329016,0.160974088365631
