"","regions","mean","SD"
"1","Congolian-Congolian",0.747486435786436,0.302569770426855
"2","Congolian-Ethiopian",0.985238095238095,0.0686254243887716
"3","Congolian-Somalian",0.966,0.167199950039385
"4","Congolian-Southern",0.9962,0.0503600997681166
"5","Congolian-Sudanian",0.860104166666667,0.247620508471688
"6","Congolian-Zambezian",0.922811612364244,0.15691582752681
"7","Ethiopian-Congolian",0.985238095238095,0.0686254243887716
"8","Ethiopian-Ethiopian",0.724489795918367,0.447915107453507
"9","Ethiopian-Somalian",1,0
"10","Ethiopian-Southern",1,0
"11","Ethiopian-Sudanian",0.985119047619048,0.0880321639950079
"12","Ethiopian-Zambezian",0.993107769423559,0.0474778312845202
"13","Somalian-Congolian",0.966,0.167199950039385
"14","Somalian-Ethiopian",1,0
"15","Somalian-Somalian",0.72,0.458257569495584
"16","Somalian-Southern",0.946666666666667,0.225450084258512
"17","Somalian-Sudanian",0.925,0.239989451244968
"18","Somalian-Zambezian",0.813157894736842,0.375274892283794
"19","Southern-Congolian",0.9962,0.0503600997681166
"20","Southern-Ethiopian",1,0
"21","Southern-Somalian",0.946666666666667,0.225450084258512
"22","Southern-Southern",0.778518518518518,0.390636643250583
"23","Southern-Sudanian",0.994826388888889,0.0401137034823163
"24","Southern-Zambezian",0.921520467836257,0.251683102394653
"25","Sudanian-Congolian",0.860104166666667,0.247620508471688
"26","Sudanian-Ethiopian",0.985119047619048,0.0880321639950079
"27","Sudanian-Somalian",0.925,0.239989451244968
"28","Sudanian-Southern",0.994826388888889,0.0401137034823163
"29","Sudanian-Sudanian",0.708472842261905,0.380125638297825
"30","Sudanian-Zambezian",0.884153743734336,0.238831382625631
"31","Zambezian-Congolian",0.922811612364244,0.15691582752681
"32","Zambezian-Ethiopian",0.993107769423559,0.0474778312845202
"33","Zambezian-Somalian",0.813157894736842,0.375274892283794
"34","Zambezian-Southern",0.921520467836257,0.251683102394653
"35","Zambezian-Sudanian",0.884153743734336,0.238831382625631
"36","Zambezian-Zambezian",0.752008310249307,0.366793965921886
