"","regions","row","col","Bsor","Bsim","Bnes"
"1","Zambezian-Zambezian","AGO_Okavango","AGO_Okavango",0,0,0
"2","Congolian-Zambezian","BDI_Bururi","AGO_Okavango",1,1,0
"3","Congolian-Zambezian","BEN_Gotcha","AGO_Okavango",0.75,0.666666666666667,0.0833333333333333
"4","Congolian-Zambezian","BEN_Lougba","AGO_Okavango",0.777777777777778,0.666666666666667,0.111111111111111
"5","Sudanian-Zambezian","BEN_Terou","AGO_Okavango",0.714285714285714,0.666666666666667,0.0476190476190476
"6","Sudanian-Zambezian","BEN_Wannou","AGO_Okavango",0.666666666666667,0.666666666666667,0
"7","Sudanian-Zambezian","CAF_Bamingui1","AGO_Okavango",0.818181818181818,0.666666666666667,0.151515151515151
"8","Sudanian-Zambezian","CAF_Bamingui2","AGO_Okavango",1,1,0
"9","Sudanian-Zambezian","CAF_Bohou","AGO_Okavango",1,1,0
"10","Congolian-Zambezian","CAF_Dzanga","AGO_Okavango",1,1,0
"11","Sudanian-Zambezian","CAF_Manovo1","AGO_Okavango",1,1,0
"12","Sudanian-Zambezian","CAF_Manovo2","AGO_Okavango",1,1,0
"13","Congolian-Zambezian","CIV_Tai1","AGO_Okavango",1,1,0
"14","Congolian-Zambezian","CIV_Tai2","AGO_Okavango",1,1,0
"15","Congolian-Zambezian","CMR_Korup","AGO_Okavango",1,1,0
"16","Congolian-Zambezian","CMR_Kupe1","AGO_Okavango",1,1,0
"17","Congolian-Zambezian","CMR_Oku","AGO_Okavango",1,1,0
"18","Congolian-Zambezian","COD_Epulu","AGO_Okavango",1,1,0
"19","Congolian-Zambezian","COD_Kisangani1","AGO_Okavango",1,1,0
"20","Congolian-Zambezian","COD_Kisangani2","AGO_Okavango",1,1,0
"21","Congolian-Zambezian","COD_Kisangani3","AGO_Okavango",1,1,0
"22","Congolian-Zambezian","COD_Kisangani4","AGO_Okavango",1,1,0
"23","Congolian-Zambezian","COD_Kisangani5","AGO_Okavango",1,1,0
"24","Congolian-Zambezian","COD_Kisangani6","AGO_Okavango",1,1,0
"25","Congolian-Zambezian","COD_Kisangani7","AGO_Okavango",1,1,0
"26","Congolian-Zambezian","COD_Kisangani8","AGO_Okavango",1,1,0
"27","Congolian-Zambezian","COD_Kitwit","AGO_Okavango",0.833333333333333,0.666666666666667,0.166666666666667
"28","Sudanian-Zambezian","ETH_Alatish","AGO_Okavango",1,1,0
"29","Ethiopian-Zambezian","ETH_Bale1","AGO_Okavango",1,1,0
