"","regions","mean","SD"
"1","Congolian-Congolian",0.10467059336724,0.107771612950407
"2","Congolian-Ethiopian",0.0314906136516482,0.0485932577312226
"3","Congolian-Somalian",0.0172662456058351,0.0339276393856075
"4","Congolian-Southern",0.00643780778562488,0.0177281436773548
"5","Congolian-Sudanian",0.0811756176869246,0.110598185057898
"6","Congolian-Zambezian",0.0311755788289795,0.055564063130517
"7","Ethiopian-Congolian",0.0314906136516482,0.0485932577312226
"8","Ethiopian-Ethiopian",0.143188732563733,0.150527162023137
"9","Ethiopian-Somalian",0.0375559472904511,0.0787683993825289
"10","Ethiopian-Southern",0.0588181049719921,0.117358261096166
"11","Ethiopian-Sudanian",0.0576492840671649,0.0778481025402463
"12","Ethiopian-Zambezian",0.0702844614449671,0.112770187023783
"13","Somalian-Congolian",0.0172662456058351,0.0339276393856075
"14","Somalian-Ethiopian",0.0375559472904511,0.0787683993825289
"15","Somalian-Somalian",0.0985287136002093,0.0874772304284603
"16","Somalian-Southern",0.071335158233974,0.0990231147360148
"17","Somalian-Sudanian",0.0528020251937552,0.0607828536831034
"18","Somalian-Zambezian",0.069199845523326,0.0625437068213497
"19","Southern-Congolian",0.00643780778562488,0.0177281436773548
"20","Southern-Ethiopian",0.0588181049719921,0.117358261096166
"21","Southern-Somalian",0.071335158233974,0.0990231147360148
"22","Southern-Southern",0.136847822042757,0.154861555342074
"23","Southern-Sudanian",0.032927120659382,0.063308628924342
"24","Southern-Zambezian",0.0791940467828325,0.101708627996001
"25","Sudanian-Congolian",0.0811756176869246,0.110598185057898
"26","Sudanian-Ethiopian",0.0576492840671649,0.0778481025402463
"27","Sudanian-Somalian",0.0528020251937552,0.0607828536831034
"28","Sudanian-Southern",0.032927120659382,0.063308628924342
"29","Sudanian-Sudanian",0.139734263349981,0.164643017286886
"30","Sudanian-Zambezian",0.0479150266044104,0.0655546741798028
"31","Zambezian-Congolian",0.0311755788289795,0.055564063130517
"32","Zambezian-Ethiopian",0.0702844614449671,0.112770187023783
"33","Zambezian-Somalian",0.069199845523326,0.0625437068213497
"34","Zambezian-Southern",0.0791940467828325,0.101708627996001
"35","Zambezian-Sudanian",0.0479150266044104,0.0655546741798028
"36","Zambezian-Zambezian",0.0788723830193957,0.0869988141730131
