"","regions","mean","SD"
"1","Congolian-Congolian",0.628959867673919,0.231445258054847
"2","Congolian-Ethiopian",0.880409901704709,0.131864236831783
"3","Congolian-Somalian",0.936375697929711,0.0945400107877721
"4","Congolian-Southern",0.970739181108279,0.0595947655412685
"5","Congolian-Sudanian",0.756887671564605,0.194474388102175
"6","Congolian-Zambezian",0.893619851467995,0.121904605878987
"7","Ethiopian-Congolian",0.880409901704709,0.131864236831783
"8","Ethiopian-Ethiopian",0.448412698412698,0.314536803125965
"9","Ethiopian-Somalian",0.910796957671958,0.117928776169074
"10","Ethiopian-Southern",0.86082556128512,0.149305076420083
"11","Ethiopian-Sudanian",0.82860468524531,0.154381901047405
"12","Ethiopian-Zambezian",0.829466810966811,0.165968273540221
"13","Somalian-Congolian",0.936375697929711,0.0945400107877721
"14","Somalian-Ethiopian",0.910796957671958,0.117928776169074
"15","Somalian-Somalian",0.471105299480586,0.294983253731491
"16","Somalian-Southern",0.769455286101681,0.162596526308193
"17","Somalian-Sudanian",0.835440462586665,0.125567235840971
"18","Somalian-Zambezian",0.722410416687305,0.149593704636295
"19","Southern-Congolian",0.970739181108279,0.0595947655412685
"20","Southern-Ethiopian",0.86082556128512,0.149305076420083
"21","Southern-Somalian",0.769455286101681,0.162596526308193
"22","Southern-Southern",0.470914351728388,0.274469285821297
"23","Southern-Sudanian",0.90144827642979,0.118191772315299
"24","Southern-Zambezian",0.716182474903837,0.198748562014452
"25","Sudanian-Congolian",0.756887671564605,0.194474388102175
"26","Sudanian-Ethiopian",0.82860468524531,0.154381901047405
"27","Sudanian-Somalian",0.835440462586665,0.125567235840971
"28","Sudanian-Southern",0.90144827642979,0.118191772315299
"29","Sudanian-Sudanian",0.577473203537143,0.270056399532978
"30","Sudanian-Zambezian",0.846009616435031,0.126821880566113
"31","Zambezian-Congolian",0.893619851467995,0.121904605878987
"32","Zambezian-Ethiopian",0.829466810966811,0.165968273540221
"33","Zambezian-Somalian",0.722410416687305,0.149593704636295
"34","Zambezian-Southern",0.716182474903837,0.198748562014452
"35","Zambezian-Sudanian",0.846009616435031,0.126821880566113
"36","Zambezian-Zambezian",0.639869492064,0.249951425459805
