"","regions","mean","SD"
"1","Congolian-Congolian",0.733630461041159,0.194506367078339
"2","Congolian-Ethiopian",0.911900515356357,0.0992598567136304
"3","Congolian-Somalian",0.953641943535546,0.0698004095267346
"4","Congolian-Southern",0.977176988893904,0.0463243435076483
"5","Congolian-Sudanian",0.838063289251529,0.124890281708634
"6","Congolian-Zambezian",0.924795430296975,0.0807897457680501
"7","Ethiopian-Congolian",0.911900515356357,0.0992598567136304
"8","Ethiopian-Ethiopian",0.591601430976431,0.373120522627558
"9","Ethiopian-Somalian",0.948352904962409,0.056507420956496
"10","Ethiopian-Southern",0.919643666257112,0.0671117967150974
"11","Ethiopian-Sudanian",0.886253969312475,0.10908996201009
"12","Ethiopian-Zambezian",0.899751272411778,0.093605579449556
"13","Somalian-Congolian",0.953641943535546,0.0698004095267346
"14","Somalian-Ethiopian",0.948352904962409,0.056507420956496
"15","Somalian-Somalian",0.569634013080795,0.32104343675356
"16","Somalian-Southern",0.840790444335656,0.119725314767767
"17","Somalian-Sudanian",0.888242487780421,0.0872364280068911
"18","Somalian-Zambezian",0.791610262210631,0.122917489407692
"19","Southern-Congolian",0.977176988893904,0.0463243435076483
"20","Southern-Ethiopian",0.919643666257112,0.0671117967150974
"21","Southern-Somalian",0.840790444335656,0.119725314767767
"22","Southern-Southern",0.607762173771144,0.25412184853799
"23","Southern-Sudanian",0.934375397089172,0.0771356939431775
"24","Southern-Zambezian",0.79537652168667,0.153512002623111
"25","Sudanian-Congolian",0.838063289251529,0.124890281708634
"26","Sudanian-Ethiopian",0.886253969312475,0.10908996201009
"27","Sudanian-Somalian",0.888242487780421,0.0872364280068911
"28","Sudanian-Southern",0.934375397089172,0.0771356939431775
"29","Sudanian-Sudanian",0.717207466887124,0.224828396644561
"30","Sudanian-Zambezian",0.893924643039442,0.0871455565956438
"31","Zambezian-Congolian",0.924795430296975,0.0807897457680501
"32","Zambezian-Ethiopian",0.899751272411778,0.093605579449556
"33","Zambezian-Somalian",0.791610262210631,0.122917489407692
"34","Zambezian-Southern",0.79537652168667,0.153512002623111
"35","Zambezian-Sudanian",0.893924643039442,0.0871455565956438
"36","Zambezian-Zambezian",0.718741875083396,0.218947752591217
