"","regions","mean","SD"
"1","Congolian-Congolian",0.80326554851228,0.248219207435094
"2","Congolian-Ethiopian",0.990744604601748,0.0448319670775083
"3","Congolian-Somalian",0.991134373469668,0.0431018952983487
"4","Congolian-Southern",0.998522655122655,0.0159750283797484
"5","Congolian-Sudanian",0.910919106880803,0.144380150036312
"6","Congolian-Zambezian",0.948307016515612,0.0998217130823858
"7","Ethiopian-Congolian",0.990744604601748,0.0448319670775083
"8","Ethiopian-Ethiopian",0.751700680272109,0.411546245551402
"9","Ethiopian-Somalian",1,0
"10","Ethiopian-Southern",1,0
"11","Ethiopian-Sudanian",0.991091720779221,0.050062628375777
"12","Ethiopian-Zambezian",0.994631152055964,0.0378058307305863
"13","Somalian-Congolian",0.991134373469668,0.0431018952983487
"14","Somalian-Ethiopian",1,0
"15","Somalian-Somalian",0.746666666666667,0.422514518707368
"16","Somalian-Southern",0.963333333333333,0.165960472549697
"17","Somalian-Sudanian",0.973968253968254,0.0803505623184604
"18","Somalian-Zambezian",0.892476646160857,0.238443548787088
"19","Southern-Congolian",0.998522655122655,0.0159750283797484
"20","Southern-Ethiopian",1,0
"21","Southern-Somalian",0.963333333333333,0.165960472549697
"22","Southern-Southern",0.83173544973545,0.306188876089609
"23","Southern-Sudanian",0.995958358770859,0.0301514703115029
"24","Southern-Zambezian",0.948174671332566,0.173249911353742
"25","Sudanian-Congolian",0.910919106880803,0.144380150036312
"26","Sudanian-Ethiopian",0.991091720779221,0.050062628375777
"27","Sudanian-Somalian",0.973968253968254,0.0803505623184604
"28","Sudanian-Southern",0.995958358770859,0.0301514703115029
"29","Sudanian-Sudanian",0.791641583243146,0.300167012031218
"30","Sudanian-Zambezian",0.927460143593077,0.13927977818481
"31","Zambezian-Congolian",0.948307016515612,0.0998217130823858
"32","Zambezian-Ethiopian",0.994631152055964,0.0378058307305863
"33","Zambezian-Somalian",0.892476646160857,0.238443548787088
"34","Zambezian-Southern",0.948174671332566,0.173249911353742
"35","Zambezian-Sudanian",0.927460143593077,0.13927977818481
"36","Zambezian-Zambezian",0.823931239582209,0.273062110358934
